# Title: Online Malicious URL Splunk Lookup
# Updated: 2025-07-19T12:11:28Z
# Expires: 12 hours (update frequency)
# Homepage: https://gitlab.com/malware-filter/urlhaus-filter
# License: https://gitlab.com/malware-filter/urlhaus-filter#license
# Source: https://urlhaus.abuse.ch/api/
"host","path","message","updated"
"103.163.118.122","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.163.119.220","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.164.191.74","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.164.200.170","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.165.81.230","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.173.173.98","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.174.191.145","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.175.16.75","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.180.241.200","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.187.146.29","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.187.151.107","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.20.102.84","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.206.130.213","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.207.4.245","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.209.184.118","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.209.184.121","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.212.128.174","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.215.83.86","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.217.215.238","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.220.214.246","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.227.118.45","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.230.153.181","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.235.33.186","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.240.163.205","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.243.26.213","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.245.10.51","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.245.231.248","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.245.237.243","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.245.78.68","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.252.88.90","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.253.43.60","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.36.124.224","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.39.139.222","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.4.147.109","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.42.201.36","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.43.128.123","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.43.6.114","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.43.6.118","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.43.7.106","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.50.4.171","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.50.4.173","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.50.4.174","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.50.7.123","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.50.7.126","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.6.5.3","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.61.103.83","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.62.233.206","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.69.219.246","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.7.27.90","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.70.204.249","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.70.204.50","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.77.241.145","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.79.114.28","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.79.114.29","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.8.112.154","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.8.112.155","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.8.112.156","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
